trade_id,entry_date,exit_date,asset,direction,quantity,entry_price,exit_price,pnl,hold_days
95,2021-08-09,2021-08-31,SPY,-1,4072,125.5461,130.6787,-20899.97,16
96,2021-02-08,2021-02-10,QQQ,1,1013,109.7296,109.9356,208.67,2
97,2021-06-14,2021-06-22,SPY,-1,4649,126.6191,126.5232,445.86,6
98,2020-11-18,2020-12-28,SPY,-1,136,133.7731,133.6576,15.71,28
99,2023-11-24,2023-12-25,SPY,-1,3487,111.8118,112.0731,-910.98,21
100,2020-02-26,2020-04-07,HYG,1,1811,95.6716,105.0196,16929.3,29
101,2024-01-11,2024-02-16,TLT,1,3120,108.198,99.5235,-27064.54,26
102,2020-07-07,2020-08-11,SPY,1,895,118.625,121.1954,2300.49,25
103,2020-10-07,2020-10-23,TLT,1,4136,104.0093,103.9177,-378.9,12
104,2022-12-27,2023-01-03,GLD,-1,4788,107.5777,106.3103,6068.33,5
105,2023-07-25,2023-07-27,QQQ,-1,3211,90.8665,93.2534,-7664.16,2
106,2024-01-18,2024-02-09,GLD,-1,1424,91.836,88.9233,4147.61,16
107,2024-02-08,2024-02-15,GLD,1,417,89.5429,88.7091,-347.68,5
108,2021-12-03,2021-12-24,HYG,-1,2496,156.1836,158.8033,-6538.79,15
109,2021-07-22,2021-08-09,QQQ,1,2262,108.7174,112.0875,7623.04,12
110,2023-01-31,2023-02-06,GLD,-1,2845,110.4335,108.9466,4230.37,4
111,2020-05-18,2020-06-08,GLD,1,1691,108.7273,107.6493,-1822.9,15
112,2022-08-15,2022-08-30,QQQ,1,3211,112.2868,117.6669,17275.48,11
113,2022-10-12,2022-11-03,QQQ,-1,4030,120.8802,122.0056,-4535.33,16
114,2023-09-06,2023-10-09,GLD,-1,2096,94.6824,97.6316,-6181.62,23
115,2022-05-06,2022-05-16,QQQ,-1,1412,117.9881,122.1031,-5810.44,6
116,2022-06-17,2022-07-07,GLD,-1,1385,104.759,111.3389,-9113.15,14
117,2023-12-11,2024-01-04,GLD,1,4411,96.2131,93.5003,-11966.25,18
118,2024-10-03,2024-10-21,HYG,-1,2483,116.9511,116.8713,198.14,12
119,2021-12-03,2022-01-11,SPY,-1,3339,168.1706,160.7947,24628.04,27
120,2022-12-08,2022-12-23,GLD,-1,2239,115.3256,108.7746,14667.64,11
121,2021-07-09,2021-07-28,TLT,1,1804,120.2591,116.4764,-6823.91,13
122,2023-05-03,2023-06-01,SPY,1,462,122.0369,120.4426,-736.55,21
123,2023-01-17,2023-02-17,SPY,-1,2704,138.7732,140.4599,-4560.69,23
124,2021-07-02,2021-07-19,SPY,1,1816,120.2659,119.408,-1557.99,11
125,2020-10-15,2020-11-17,HYG,-1,4551,119.6563,128.7854,-41546.55,23
126,2023-12-25,2024-01-16,GLD,1,4386,95.0905,91.9577,-13740.34,16
127,2023-06-01,2023-06-22,HYG,1,3838,121.599,120.5243,-4124.78,15
128,2023-04-24,2023-05-23,GLD,1,2569,100.6879,100.0255,-1701.54,21
129,2022-11-04,2022-12-14,HYG,1,4895,157.8632,143.5272,-70174.83,28
130,2024-11-05,2024-11-26,HYG,-1,656,115.8396,120.5918,-3117.44,15
131,2022-02-28,2022-04-04,TLT,-1,925,107.0927,106.1336,887.12,25
132,2023-11-29,2023-12-05,HYG,-1,2908,116.975,117.0615,-251.61,4
133,2020-05-13,2020-05-28,QQQ,1,4621,120.2497,115.0862,-23860.48,11
134,2021-11-09,2021-12-06,TLT,-1,2819,104.985,103.4852,4227.92,19
135,2020-11-18,2020-12-09,HYG,-1,3608,129.1251,132.6928,-12871.95,15
136,2022-11-14,2022-11-18,SPY,-1,3841,145.1136,140.925,16088.67,4
137,2024-07-30,2024-08-28,QQQ,1,1674,72.704,74.5437,3079.65,21
138,2022-01-26,2022-02-14,QQQ,1,4098,136.2481,141.5914,21897.04,13
139,2024-01-23,2024-02-22,QQQ,1,2229,92.9239,89.3013,-8074.96,22
140,2022-01-04,2022-01-31,TLT,-1,2503,105.2256,108.4454,-8059.19,19
141,2024-07-15,2024-07-17,HYG,-1,3429,111.0025,110.3786,2139.3,2
142,2024-11-07,2024-11-27,HYG,-1,688,115.7215,121.2842,-3827.11,14
143,2024-04-02,2024-05-13,SPY,1,2112,127.3463,110.6633,-35234.4,29
144,2022-03-18,2022-03-24,SPY,1,1647,132.7557,140.4235,12628.94,4
145,2022-08-11,2022-09-02,QQQ,-1,394,113.2169,114.4377,-481.0,16
146,2022-02-17,2022-03-18,SPY,1,2085,153.0676,132.7557,-42350.43,21
147,2023-11-17,2023-12-15,TLT,1,3217,109.0152,113.3902,14074.33,20
148,2022-06-22,2022-07-12,HYG,1,1790,146.765,152.7024,10627.85,14
149,2023-01-18,2023-02-24,QQQ,1,1236,118.8267,113.2819,-6853.35,27
150,2024-01-11,2024-02-21,SPY,-1,2164,116.1259,118.2504,-4597.38,29
151,2024-10-22,2024-11-12,TLT,1,4555,105.1624,105.4564,1339.15,15
152,2020-09-22,2020-10-30,TLT,1,4895,104.5703,104.7958,1103.94,28
153,2024-10-14,2024-10-17,SPY,1,4643,103.084,100.2653,-13087.06,3
154,2022-06-03,2022-06-15,HYG,1,4870,150.5253,145.9035,-22507.86,8
155,2022-05-27,2022-06-20,SPY,-1,1107,137.0388,135.1432,2098.43,16
156,2023-09-22,2023-10-06,QQQ,-1,2614,86.7654,85.601,3043.59,10
157,2022-09-20,2022-09-26,SPY,1,3626,147.6385,147.1409,-1804.27,4
158,2022-06-27,2022-07-21,TLT,1,4781,98.1676,94.3981,-18021.79,18
159,2021-03-19,2021-03-23,SPY,1,1347,129.7141,126.4937,-4337.82,2
160,2024-10-14,2024-11-06,HYG,1,4002,117.8988,114.6621,-12953.17,17
161,2024-10-25,2024-11-13,GLD,1,1535,74.518,77.2745,4231.21,13
162,2022-08-15,2022-08-19,SPY,1,671,136.4727,139.4479,1996.35,4
163,2022-07-18,2022-08-23,HYG,-1,2482,155.4836,157.8991,-5995.43,26
164,2024-10-24,2024-11-28,HYG,1,1345,116.0153,122.474,8687.0,25
165,2024-05-09,2024-05-24,TLT,-1,2184,103.5183,106.2221,-5905.11,11
166,2021-09-09,2021-09-20,HYG,-1,377,138.2094,138.8266,-232.68,7
167,2022-02-28,2022-03-16,HYG,1,1987,156.0749,150.0987,-11874.66,12
168,2024-05-09,2024-05-23,HYG,-1,4679,125.6777,121.846,17928.58,10
169,2023-08-24,2023-09-04,HYG,-1,1365,117.6567,115.1219,3460.02,7
170,2024-03-26,2024-04-12,QQQ,-1,4926,92.0264,93.2785,-6168.19,13
171,2022-09-05,2022-09-14,QQQ,-1,1140,113.8217,115.3895,-1787.3,7
172,2020-06-05,2020-07-09,TLT,-1,1017,99.2612,101.4678,-2244.15,24
173,2020-01-02,2020-01-27,SPY,-1,985,100.3134,101.9884,-1649.83,17
174,2022-06-16,2022-06-30,HYG,1,2852,145.3804,148.916,10083.45,10
175,2020-11-03,2020-12-14,SPY,-1,121,133.6732,137.8699,-507.8,29
176,2023-04-11,2023-04-25,SPY,-1,4669,121.9152,122.0923,-827.24,10
177,2024-10-14,2024-11-15,TLT,-1,3291,102.9101,102.2458,2186.03,24
178,2021-06-22,2021-06-28,HYG,1,2453,134.1225,134.8301,1735.63,4
179,2024-06-03,2024-07-01,HYG,-1,4899,118.3588,113.5216,23697.7,20
180,2024-02-15,2024-02-21,GLD,1,786,88.7091,86.5378,-1706.64,4
181,2022-10-18,2022-11-17,SPY,-1,384,145.4363,140.3824,1940.71,22
182,2020-12-10,2020-12-21,SPY,1,4911,135.8283,133.0097,-13842.18,7
183,2023-03-15,2023-04-14,QQQ,1,3847,107.149,108.3458,4604.03,22
184,2020-10-09,2020-10-12,GLD,-1,862,112.7877,112.4456,294.81,1
185,2024-08-16,2024-09-03,QQQ,-1,2528,72.0121,76.7182,-11896.9,12
186,2020-06-19,2020-07-23,QQQ,1,2607,114.0887,109.9882,-10690.07,24
187,2021-07-14,2021-08-02,QQQ,-1,128,109.4708,111.1057,-209.27,13
188,2022-12-08,2022-12-22,TLT,1,1006,99.5539,101.315,1771.69,10
189,2021-02-15,2021-03-08,TLT,1,3204,114.3041,115.6252,4232.52,15
190,2021-01-26,2021-03-04,QQQ,1,4099,106.7022,120.8321,57918.56,27
191,2023-05-22,2023-06-08,GLD,1,3094,98.8142,100.0598,3853.78,13
192,2020-10-02,2020-11-04,SPY,1,2606,124.7768,135.2741,27355.97,23
193,2023-10-05,2023-11-06,GLD,-1,4765,96.5975,100.278,-17537.7,22
194,2022-11-17,2022-12-19,HYG,1,3709,149.9084,141.9741,-29428.3,22
195,2020-07-20,2020-08-18,TLT,1,3653,99.781,105.4749,20800.0,21
196,2022-05-02,2022-06-01,SPY,-1,1553,141.8811,140.6186,1960.52,22
197,2024-09-10,2024-10-18,SPY,1,4933,100.9782,101.9695,4890.29,28
198,2024-05-24,2024-06-06,HYG,-1,3456,121.3865,118.2218,10937.31,9
199,2020-09-17,2020-10-23,HYG,-1,615,116.9491,123.1429,-3809.19,26
200,2021-10-11,2021-10-22,QQQ,-1,138,134.5996,139.8747,-727.96,9
201,2022-07-12,2022-08-02,TLT,1,3442,94.5583,92.9113,-5668.84,15
202,2022-12-05,2022-12-19,TLT,1,986,98.9078,102.9917,4026.74,10
203,2023-08-29,2023-10-02,GLD,1,2944,100.8387,96.7544,-12024.03,24
204,2021-07-16,2021-08-23,QQQ,-1,2304,107.04,116.6008,-22027.98,26
205,2020-07-23,2020-08-27,QQQ,1,1198,109.9882,106.9015,-3697.86,25
206,2024-06-27,2024-08-07,QQQ,-1,1923,73.372,71.5648,3475.2,29
207,2023-04-24,2023-05-08,QQQ,1,3301,101.9064,103.4066,4952.13,10
208,2021-11-15,2021-11-25,TLT,-1,3255,103.8575,105.0542,-3895.21,8
209,2023-07-24,2023-08-25,TLT,1,3193,105.8676,109.0599,10192.82,24
210,2022-02-09,2022-03-03,QQQ,1,3630,141.5529,134.4407,-25817.41,16
211,2021-04-16,2021-05-11,GLD,1,3878,119.4927,122.811,12868.22,17
212,2023-05-04,2023-06-09,SPY,-1,2996,123.0852,117.6391,16316.59,26
213,2022-06-15,2022-07-22,SPY,-1,3553,131.5298,141.5331,-35541.54,27
214,2021-10-22,2021-10-29,GLD,1,3611,113.5484,112.6973,-3073.04,5
215,2020-07-29,2020-08-04,QQQ,1,1088,104.4564,107.1981,2983.06,4
216,2021-01-01,2021-01-27,TLT,-1,4216,104.3219,110.4125,-25678.06,18
217,2020-07-20,2020-08-21,SPY,-1,4126,120.579,119.3734,4974.22,24
218,2021-04-28,2021-05-25,HYG,-1,4279,140.4498,133.5664,29453.8,19
219,2022-05-23,2022-05-27,HYG,1,1782,151.3293,151.5899,464.44,4
220,2023-11-23,2024-01-02,GLD,-1,4765,99.3155,93.3509,28421.22,28
221,2023-05-17,2023-05-26,QQQ,1,4063,99.7477,98.6381,-4508.07,7
222,2020-01-02,2020-01-16,SPY,-1,1033,100.3134,100.2688,46.12,10
223,2023-06-08,2023-07-13,QQQ,1,3698,96.0362,93.2618,-10259.93,25
224,2020-12-21,2021-01-14,SPY,-1,3333,133.0097,120.0722,43120.75,18
225,2021-09-24,2021-10-21,GLD,-1,2080,113.9452,113.0561,1849.29,19
226,2024-01-24,2024-01-30,GLD,-1,1955,92.1831,91.7727,802.39,4
227,2024-07-15,2024-07-29,HYG,-1,3156,111.0025,113.3648,-7455.6,10
228,2023-11-21,2023-11-22,QQQ,-1,892,85.1021,85.2319,-115.74,1
229,2020-01-13,2020-02-13,HYG,1,891,97.4655,96.2157,-1113.57,23
230,2024-10-24,2024-11-19,QQQ,-1,1909,78.731,85.7958,-13486.58,18
231,2024-04-19,2024-04-26,HYG,-1,2355,129.5744,128.0316,3633.42,5
232,2023-02-15,2023-03-08,TLT,-1,3710,98.183,105.4398,-26922.62,15
233,2020-10-16,2020-11-10,TLT,1,1707,103.2483,105.3161,3529.63,17
234,2024-06-04,2024-06-07,TLT,-1,1084,106.3481,108.3403,-2159.53,3
235,2021-07-19,2021-08-04,TLT,1,3776,117.3444,118.1146,2908.56,12
236,2020-07-30,2020-08-03,SPY,-1,3480,120.3806,118.5403,6404.3,2
237,2020-03-16,2020-03-17,TLT,-1,619,98.4061,98.9448,-333.47,1
238,2024-05-20,2024-06-20,GLD,1,690,83.388,82.8671,-359.39,23
239,2022-05-27,2022-06-27,GLD,-1,1150,101.9703,107.2771,-6102.84,21
240,2022-03-31,2022-04-25,SPY,1,3733,143.2933,143.0269,-994.65,17
241,2020-05-25,2020-06-24,TLT,1,4544,98.0331,100.1875,9789.45,22
242,2020-12-21,2021-01-12,TLT,-1,1059,102.615,105.426,-2976.84,16
243,2024-10-16,2024-10-23,TLT,1,792,105.0499,105.0724,17.82,5
244,2024-05-08,2024-05-29,HYG,-1,3999,126.7048,119.6521,28203.8,15
245,2021-12-14,2021-12-17,QQQ,-1,4573,160.5869,152.5263,36861.22,3
246,2020-05-18,2020-06-25,HYG,1,3046,106.2493,104.8498,-4262.95,28
247,2020-07-31,2020-08-11,QQQ,1,626,107.5504,108.132,364.14,7
248,2023-07-03,2023-07-18,TLT,1,3324,102.6073,106.2977,12266.89,11
249,2023-05-12,2023-05-26,TLT,1,2353,103.3331,100.5218,-6614.86,10
250,2021-04-16,2021-04-29,HYG,-1,3444,136.1172,140.8316,-16236.22,9
251,2023-02-23,2023-03-15,HYG,-1,4065,138.0124,133.7937,17148.89,14
252,2024-07-18,2024-08-06,QQQ,1,1975,69.9256,72.8626,5800.6,13
253,2023-08-31,2023-10-11,GLD,-1,1863,99.2363,98.0314,2244.74,29
254,2020-08-12,2020-09-16,QQQ,-1,620,109.1327,114.1727,-3124.8,25
255,2023-01-25,2023-03-01,HYG,-1,1116,136.1213,138.3948,-2537.16,25
256,2021-07-09,2021-07-13,HYG,-1,216,135.2053,136.6456,-311.1,2
257,2023-02-15,2023-02-20,SPY,1,2533,139.7761,138.6081,-2958.57,3
258,2024-06-10,2024-06-19,HYG,1,683,116.7705,116.5143,-174.96,7
259,2024-09-02,2024-10-01,SPY,-1,494,99.6736,100.3579,-338.04,21
260,2021-07-14,2021-08-09,GLD,1,3888,122.711,120.131,-10030.85,18
261,2022-06-14,2022-06-17,QQQ,1,2868,113.6644,113.7106,132.31,3
262,2024-01-18,2024-02-01,QQQ,1,4267,91.1336,91.5621,1828.33,10
263,2022-08-19,2022-09-20,SPY,-1,3960,139.4479,147.6385,-32434.52,22
264,2021-10-05,2021-11-15,QQQ,-1,373,125.978,143.884,-6678.93,29
265,2023-08-29,2023-09-07,HYG,-1,2113,115.0408,113.7298,2770.06,7
266,2021-10-19,2021-11-01,TLT,1,4533,110.4792,106.4871,-18096.35,9
267,2024-01-03,2024-01-26,SPY,-1,1489,113.9137,122.1807,-12309.6,17
268,2022-11-15,2022-11-30,QQQ,-1,3666,122.4128,115.0826,26872.33,11
269,2020-02-21,2020-03-03,SPY,1,4802,102.002,105.6879,17699.7,7
270,2020-11-17,2020-12-21,SPY,-1,265,135.3838,133.0097,629.13,24
271,2022-02-25,2022-04-06,TLT,-1,1667,106.9833,104.5034,4133.94,28
272,2021-09-03,2021-09-23,HYG,1,828,139.166,139.7343,470.59,14
273,2020-02-06,2020-03-04,SPY,1,2143,98.6694,107.069,18000.32,19
274,2020-11-11,2020-11-17,QQQ,1,4297,117.4496,120.1916,11782.18,4
275,2023-01-20,2023-02-27,GLD,-1,3596,108.952,107.4607,5362.66,26
276,2021-02-01,2021-02-09,SPY,-1,878,122.2341,120.9819,1099.41,6
277,2023-05-15,2023-05-29,SPY,-1,313,125.3608,121.8572,1096.61,10
278,2023-09-05,2023-09-14,TLT,1,3862,107.2587,106.6688,-2278.11,7
279,2021-09-24,2021-10-13,HYG,1,1676,140.3801,148.138,13002.36,13
280,2023-11-28,2023-12-18,GLD,-1,2548,99.5695,96.959,6651.66,14
281,2023-02-15,2023-02-21,QQQ,-1,3036,115.828,114.6406,3604.97,4
282,2022-07-11,2022-07-21,GLD,1,3217,111.9,111.614,-920.28,8
283,2022-02-03,2022-02-10,QQQ,1,691,139.3805,140.4563,743.33,5
284,2024-08-28,2024-08-29,HYG,1,2820,115.0761,116.0451,2732.63,1
285,2024-02-09,2024-02-15,QQQ,1,813,92.651,90.6392,-1635.61,4
286,2020-01-23,2020-01-28,TLT,-1,1035,100.2604,100.9115,-673.86,3
287,2024-07-31,2024-08-13,TLT,1,4437,106.657,107.6233,4287.31,9
288,2024-10-07,2024-10-17,TLT,-1,101,102.7834,104.9891,-222.78,8
289,2020-08-07,2020-08-10,TLT,-1,2948,102.0442,102.0914,-139.13,1
290,2021-10-28,2021-12-06,GLD,-1,4144,112.2752,108.5489,15442.03,27
291,2024-02-06,2024-02-14,HYG,1,2049,133.2764,134.0156,1514.55,6
292,2021-12-24,2022-01-06,QQQ,1,1017,147.563,142.4676,-5182.08,9
293,2020-05-18,2020-05-27,QQQ,1,3274,117.7464,115.1889,-8373.11,7
294,2024-01-24,2024-01-30,TLT,1,2341,106.9062,106.0117,-2093.93,4
295,2021-01-26,2021-02-12,TLT,-1,189,109.2111,114.1198,-927.74,13
296,2021-11-25,2021-12-20,SPY,1,1809,164.4384,164.9366,901.34,17
297,2021-02-25,2021-04-06,HYG,1,2269,131.9307,131.3555,-1305.15,28
298,2020-09-09,2020-09-11,GLD,-1,4338,112.6803,114.9052,-9651.57,2
299,2022-04-28,2022-06-07,QQQ,1,3141,122.9771,115.2573,-24247.91,28
300,2024-04-19,2024-04-26,SPY,-1,205,119.5477,115.2488,881.27,5
301,2022-09-06,2022-09-22,SPY,-1,986,139.8778,146.6401,-6667.61,12
302,2023-10-20,2023-11-28,QQQ,-1,527,88.0463,84.3843,1929.87,27
303,2024-05-14,2024-06-12,GLD,-1,1995,83.6627,81.5293,4256.01,21
304,2020-09-23,2020-10-05,SPY,-1,416,123.2732,125.0888,-755.29,8
305,2020-12-18,2020-12-28,SPY,-1,734,135.3051,133.6576,1209.24,6
306,2023-10-04,2023-10-16,HYG,-1,2025,114.3708,116.6964,-4709.35,8
307,2023-07-21,2023-08-16,GLD,-1,2156,98.6771,101.3407,-5742.81,18
308,2024-07-16,2024-07-19,SPY,1,3244,99.2729,97.6226,-5353.62,3
309,2020-06-26,2020-07-28,GLD,1,2370,107.8597,103.0327,-11439.95,22
310,2020-01-24,2020-02-11,QQQ,1,1539,102.9927,102.9055,-134.17,12
311,2022-03-02,2022-04-12,TLT,1,652,106.8873,103.2,-2404.15,29
312,2022-03-08,2022-04-13,SPY,-1,815,143.9294,145.5545,-1324.43,26
313,2022-08-17,2022-08-22,HYG,1,4011,154.7712,159.3327,18296.0,3
314,2022-05-25,2022-06-24,QQQ,-1,1813,120.8907,111.2506,17477.55,22
315,2023-04-10,2023-04-18,GLD,1,3489,99.4765,99.3497,-442.34,6
316,2023-09-07,2023-09-11,QQQ,1,1207,87.1501,87.437,346.31,2
317,2020-08-04,2020-09-04,SPY,1,4306,119.547,126.712,30852.36,23
318,2021-11-16,2021-12-02,GLD,-1,350,111.6271,109.366,791.39,12
319,2023-01-03,2023-01-05,TLT,1,2530,101.6018,102.5034,2281.11,2
320,2024-04-26,2024-05-06,QQQ,-1,2154,88.695,84.6793,8649.89,6
321,2020-12-09,2021-01-01,SPY,-1,558,136.7431,130.9616,3226.08,17
322,2024-08-06,2024-08-09,HYG,1,307,113.8703,113.6963,-53.41,3
323,2024-01-26,2024-01-30,GLD,1,999,91.4121,91.7727,360.26,2
324,2022-11-28,2022-12-29,QQQ,1,3561,118.8409,112.2743,-23383.79,23
325,2022-01-21,2022-02-18,QQQ,-1,3485,134.6909,138.0896,-11844.56,20
326,2023-07-12,2023-07-24,TLT,1,121,107.1548,105.8676,-155.74,8
